Postcode District,Median_Rent
BR1,1250
BR2,1250
BR3,1281
BR4,1200
BR5,1063
BR6,1198
BR7,1200
CR0,1200
CR2,1120
CR3,1200
CR4,1250
CR5,1250
CR6,1200
CR7,1200
CR8,1150
CR9,1200
DA1,1000
DA5,1200
DA6,1150
DA7,1000
DA8,1000
E1 ,1878
E10,1300
E11,1300
E12,1250
E13,1325
E14,1750
E15,1459
E16,1570
E17,1350
E18,1300
E1W,1842
E2 ,1748
E20,1950
E3 ,1573
E4 ,1250
E5 ,1650
E6 ,1250
E7 ,1275
E77,1733
E8 ,1777
E9 ,1616
E98,1733
EC1,1950
EC2,1950
EC3,1950
EC4,1950
EN1,1293
EN2,1275
EN3,1300
EN4,1250
EN5,1275
EN8,1300
HA0,1350
HA1,1325
HA2,1250
HA3,1250
HA4,1250
HA5,1275
HA6,1325
HA7,1350
HA8,1350
HA9,1400
IG1,1225
IG2,1263
IG3,1150
IG4,1185
IG5,1150
IG6,1200
IG7,1100
IG8,1300
IG9,1300
KT1,1328
KT2,1400
KT3,1220
KT4,1238
KT5,1250
KT6,1300
KT9,1260
N1 ,2058
N10,1500
N11,1400
N12,1350
N13,1350
N14,1300
N15,1400
N16,1602
N17,1400
N18,1363
N19,1625
N1P,2167
N2 ,1425
N20,1350
N21,1300
N22,1400
N3 ,1400
N4 ,1625
N5 ,1993
N6 ,1742
N7 ,1712
N8 ,1600
N9 ,1350
NW1,2162
NW2,1560
NW3,2158
NW4,1400
NW5,1863
NW6,1893
NW7,1350
NW8,2275
NW9,1350
RM1,1100
RM2,1195
RM3,1100
RM4,1100
RM5,1023
RM6,1100
RM7,1150
RM8,1200
RM9,1150
SE1,1842
SE2,1050
SE3,1500
SE4,1363
SE5,1500
SE6,1250
SE7,1295
SE8,1500
SE9,1200
SM1,1150
SM2,1200
SM3,1199
SM4,1250
SM5,1185
SM6,1100
SW1,1700
SW2,1550
SW3,3250
SW4,1798
SW5,2503
SW6,1850
SW7,3033
SW8,1753
SW9,1668
TN1,1250
TW1,1588
TW2,1318
TW3,1250
TW4,1250
TW5,1200
TW6,1250
TW7,1300
TW8,1650
TW9,1650
UB1,1275
UB2,1300
UB3,1250
UB4,1275
UB5,1200
UB6,1298
UB7,1208
UB8,1220
UB9,1175
W10,1842
W11,2492
W12,1603
W13,1443
W14,1800
W1A,2536
W1C,2536
W1F,2536
W1G,3358
W1H,3142
W1M,2536
W1P,2536
W1R,2536
W1T,2687
W1U,3055
W1X,2536
W2 ,2708
W3 ,1508
W4 ,1690
W5 ,1500
W6 ,1879
W7 ,1350
W8 ,3142
W9 ,1950
WC1,2123
WC2,2536
WD3,1250